id,instruction,modality_hint,task,class
570,Can you suppress shot noise in this PET image affecting the pancreatic tissue without masking small structures ?,PET,medical image restoration – denoising,noise
804,"For this case, can you mitigate Rician noise in this MRI image affecting the cerebral vessels without masking small structures ?",MRI,medical image restoration – denoising,noise
850,Could you recover the insufficient in-plane resolution in this CT image affecting the soft tissue planes while preserving anatomical realism for immediate review?,CT,medical image restoration – super-resolution,SR
393,Is it possible to clean up statistical noise in this X-ray image affecting the bowel wall without blurring fine detail ?,X-ray,medical image restoration – denoising,noise
139,Can you mitigate noise from aggressive dose reduction in this CT scan affecting the liver parenchyma while maintaining anatomical fidelity for immediate clinical assessment?,CT,medical image restoration – low-dose artifact reduction,low-dose
273,Can you correct partial volume blur in this X-ray image affecting the meniscal tissue while preserving subtle pathology urgently?,X-ray,medical image restoration – deblurring,blur
592,Would you compensate for undersampling streak artifacts affecting the white matter tracts while preserving low-contrast pathology for immediate clinical assessment?,implicit,medical image restoration – low-dose artifact reduction,low-dose
522,Please compensate for scanner motion blur in this PET image affecting the white matter tracts while preserving subtle pathology ?,PET,medical image restoration – deblurring,blur
523,Can you sharpen respiratory motion blur in this CT image affecting the white matter tracts while keeping anatomical boundaries sharp for reliable interpretation?,CT,medical image restoration – deblurring,blur
237,Can someone increase the loss of high-frequency detail in this CT image affecting the deep gray nuclei while preserving subtle pathology urgently?,CT,medical image restoration – super-resolution,SR
913,I need you to remove statistical noise in this X-ray image affecting the spinal cord while maintaining diagnostic contrast urgently?,X-ray,medical image restoration – denoising,noise
351,Please address out-of-plane motion blur in this PET image affecting the spinal cord without creating ringing artifacts for immediate review?,PET,medical image restoration – deblurring,blur
619,Please minimize photon starvation noise in this X-ray image affecting the meniscal tissue without masking small structures ?,X-ray,medical image restoration – denoising,noise
862,I need you to mitigate shot noise in this MRI image affecting the cerebral vessels without altering intensity relationships for accurate diagnosis?,MRI,medical image restoration – denoising,noise
107,Would you upscale the coarse voxel resolution in this MRI image affecting the vascular lumen without amplifying noise urgently?,MRI,medical image restoration – super-resolution,SR
962,Please remove electronic sensor noise in this PET image affecting the splenic tissue without compromising spatial resolution ?,PET,medical image restoration – denoising,noise
652,Could you undo motion blur in this X-ray image affecting the hip joint without amplifying noise for reliable interpretation?,X-ray,medical image restoration – deblurring,blur
412,"For clinical review, can you address statistical noise amplification in this CT scan affecting the vertebral bodies without introducing artificial smoothing for reliable interpretation?",CT,medical image restoration – low-dose artifact reduction,low-dose
443,Please enhance the loss of high-frequency detail in this CT image affecting the knee cartilage without amplifying noise for accurate diagnosis?,CT,medical image restoration – super-resolution,SR
701,Could you boost the loss of high-frequency detail in this CT image affecting the shoulder tendons without amplifying noise for immediate review?,CT,medical image restoration – super-resolution,SR
447,"For this case, can you minimize photon starvation noise in this MRI image affecting the bowel wall without blurring fine detail for immediate review?",MRI,medical image restoration – denoising,noise
954,Can someone attenuate statistical noise in this CT image affecting the hippocampus without compromising spatial resolution for accurate diagnosis?,CT,medical image restoration – denoising,noise
735,Could you increase the coarse voxel resolution in this MRI image affecting the splenic tissue without distorting small structures as soon as possible?,MRI,medical image restoration – super-resolution,SR
329,Could you mitigate dose-induced graininess in this CT scan affecting the vascular lumen without introducing artificial smoothing for reliable interpretation?,CT,medical image restoration – low-dose artifact reduction,low-dose
169,Can you sharpen reconstruction blur affecting the coronary vessels without amplifying noise urgently?,implicit,medical image restoration – deblurring,blur
707,Can someone refine the blurred detail due to low resolution in this X-ray image affecting the soft tissue planes while maintaining diagnostic integrity for immediate review?,X-ray,medical image restoration – super-resolution,SR
963,"For this case, can you undo defocus blur affecting the white matter tracts without distorting fine structures ?",implicit,medical image restoration – deblurring,blur
946,Please compensate for respiratory motion blur in this MRI image affecting the cerebral vessels while preserving subtle pathology for immediate review?,MRI,medical image restoration – deblurring,blur
463,Is it possible to mitigate patient motion blur in this CT image affecting the pulmonary vessels without creating ringing artifacts urgently?,CT,medical image restoration – deblurring,blur
428,Is it possible to sharpen the reduced sampling density in this PET image affecting the cortical bone without introducing artificial textures urgently?,PET,medical image restoration – super-resolution,SR
329,Please address system-induced blur in this MRI image affecting the soft tissue planes without amplifying noise ?,MRI,medical image restoration – deblurring,blur
658,"For this case, can you suppress photon starvation noise in this X-ray image affecting the brain cortex while maintaining diagnostic contrast ?",X-ray,medical image restoration – denoising,noise
259,Please remove low-photon streaking in this X-ray scan affecting the pelvic organs while keeping edges sharp for accurate diagnosis?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
692,Could you reduce photon starvation streaks affecting the renal medulla without obscuring subtle lesions for reliable interpretation?,implicit,medical image restoration – low-dose artifact reduction,low-dose
304,Would you correct quantum mottle in this CT scan affecting the soft tissue planes while maintaining anatomical fidelity for accurate diagnosis?,CT,medical image restoration – low-dose artifact reduction,low-dose
368,Can someone mitigate system-induced blur in this MRI image affecting the pancreatic tissue while maintaining diagnostic contrast for reliable interpretation?,MRI,medical image restoration – deblurring,blur
452,Can someone sharpen the resolution degradation from fast acquisition in this CT image affecting the hepatic vessels without amplifying noise for reliable interpretation?,CT,medical image restoration – super-resolution,SR
15,Is it possible to enhance the low spatial resolution in this X-ray image affecting the bowel wall without amplifying noise for accurate diagnosis?,X-ray,medical image restoration – super-resolution,SR
834,Is it possible to remove noise from aggressive dose reduction in this X-ray scan affecting the sinus cavities without introducing artificial smoothing for immediate clinical assessment?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
126,Can someone reconstruct the blurred detail due to low resolution affecting the cerebral vessels without hallucinating structures for accurate diagnosis?,implicit,medical image restoration – super-resolution,SR
773,Is it possible to undo system-induced blur in this MRI image affecting the tumor margins while keeping anatomical boundaries sharp ?,MRI,medical image restoration – deblurring,blur
285,"For this case, can you correct Gaussian noise in this CT image affecting the bowel wall while maintaining diagnostic contrast for reliable interpretation?",CT,medical image restoration – denoising,noise
537,"For this scan, can you compensate for low-dose noise patterns affecting the hepatic vessels without introducing artificial smoothing for reliable interpretation?",implicit,medical image restoration – low-dose artifact reduction,low-dose
579,Would you enhance the limited through-plane resolution in this MRI image affecting the small lung nodules without hallucinating structures as soon as possible?,MRI,medical image restoration – super-resolution,SR
139,Would you enhance the coarse voxel resolution affecting the meniscal tissue without amplifying noise as soon as possible?,implicit,medical image restoration – super-resolution,SR
499,Please fix patient motion blur in this CT image affecting the white matter tracts while keeping anatomical boundaries sharp for accurate diagnosis?,CT,medical image restoration – deblurring,blur
235,I need you to suppress Gaussian noise in this MRI image affecting the hepatic vessels without altering intensity relationships ?,MRI,medical image restoration – denoising,noise
513,Can someone filter out speckle noise in this PET image affecting the pelvic organs without oversmoothing edges as soon as possible?,PET,medical image restoration – denoising,noise
436,Please sharpen out-of-plane motion blur in this X-ray image affecting the cerebral vessels while preserving natural texture for immediate review?,X-ray,medical image restoration – deblurring,blur
252,Please address speckle noise in this PET image affecting the nerve roots while maintaining diagnostic contrast for reliable interpretation?,PET,medical image restoration – denoising,noise
366,Could you compensate for defocus blur in this PET image affecting the abdominal organs while keeping anatomical boundaries sharp for reliable interpretation?,PET,medical image restoration – deblurring,blur
367,Please suppress shot noise in this PET image affecting the myocardial wall while preserving natural texture as soon as possible?,PET,medical image restoration – denoising,noise
277,Could you fix out-of-plane motion blur in this CT image affecting the liver parenchyma without distorting fine structures for reliable interpretation?,CT,medical image restoration – deblurring,blur
640,Could you mitigate dose-induced graininess affecting the pulmonary vessels without introducing artificial smoothing for accurate diagnosis?,implicit,medical image restoration – low-dose artifact reduction,low-dose
768,Can someone boost the limited through-plane resolution in this MRI image affecting the orbital structures without introducing artificial textures urgently?,MRI,medical image restoration – super-resolution,SR
440,Can you restore the limited through-plane resolution in this CT image affecting the lesion boundaries without hallucinating structures ?,CT,medical image restoration – super-resolution,SR
408,"For this case, can you correct respiratory motion blur affecting the hepatic vessels while preserving natural texture as soon as possible?",implicit,medical image restoration – deblurring,blur
469,Could you mitigate quantum noise in this MRI image affecting the surrounding parenchyma while keeping anatomical boundaries sharp ?,MRI,medical image restoration – denoising,noise
364,I need you to boost the coarse voxel resolution affecting the bone trabeculae while maintaining diagnostic integrity urgently?,implicit,medical image restoration – super-resolution,SR
678,Could you reconstruct the downsampled resolution in this CT image affecting the brain cortex without hallucinating structures ?,CT,medical image restoration – super-resolution,SR
845,"For this case, can you remove system-induced blur in this MRI image affecting the tumor margins while maintaining diagnostic contrast for reliable interpretation?",MRI,medical image restoration – deblurring,blur
911,Please attenuate photon starvation noise affecting the orbital structures without compromising spatial resolution for accurate diagnosis?,implicit,medical image restoration – denoising,noise
312,Could you sharpen the blurred detail due to low resolution in this X-ray image affecting the shoulder tendons without amplifying noise for accurate diagnosis?,X-ray,medical image restoration – super-resolution,SR
87,Is it possible to remove reconstruction blur in this CT image affecting the kidney cortex without amplifying noise urgently?,CT,medical image restoration – deblurring,blur
544,Can you attenuate electronic sensor noise in this PET image affecting the hip joint without oversmoothing edges for reliable interpretation?,PET,medical image restoration – denoising,noise
46,Would you address undersampling streak artifacts in this X-ray scan affecting the pulmonary vessels without blurring fine anatomy for immediate clinical assessment?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
72,I need you to clean up sparse-view artifacts in this PET scan affecting the lesion boundaries while preserving low-contrast pathology for immediate clinical assessment?,PET,medical image restoration – low-dose artifact reduction,low-dose
365,Can you address sparse-view artifacts in this CT scan affecting the splenic tissue while preserving low-contrast pathology ?,CT,medical image restoration – low-dose artifact reduction,low-dose
850,Would you address Gaussian noise in this MRI image affecting the deep gray nuclei without compromising spatial resolution ?,MRI,medical image restoration – denoising,noise
856,I need you to fix motion blur affecting the vascular lumen while maintaining diagnostic contrast for immediate review?,implicit,medical image restoration – deblurring,blur
957,Would you upscale the limited through-plane resolution in this X-ray image affecting the shoulder tendons without distorting small structures for accurate diagnosis?,X-ray,medical image restoration – super-resolution,SR
79,Can you undo temporal blurring in this X-ray image affecting the pancreatic tissue while maintaining diagnostic contrast as soon as possible?,X-ray,medical image restoration – deblurring,blur
945,Can someone sharpen patient motion blur in this PET image affecting the myocardial wall without introducing artificial edges urgently?,PET,medical image restoration – deblurring,blur
200,Could you correct out-of-plane motion blur in this X-ray image affecting the shoulder tendons while maintaining diagnostic contrast for immediate review?,X-ray,medical image restoration – deblurring,blur
64,"For this scan, can you mitigate low-dose noise patterns in this X-ray scan affecting the vascular lumen while maintaining anatomical fidelity for accurate diagnosis?",X-ray,medical image restoration – low-dose artifact reduction,low-dose
617,Could you reduce shot noise in this CT image affecting the bone trabeculae while keeping anatomical boundaries sharp urgently?,CT,medical image restoration – denoising,noise
802,"For this case, can you fix scanner motion blur in this CT image affecting the myocardial wall while maintaining diagnostic contrast for immediate review?",CT,medical image restoration – deblurring,blur
406,Could you correct photon starvation streaks in this X-ray scan affecting the hepatic vessels while preserving low-contrast pathology for reliable interpretation?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
391,I need you to mitigate sparse-view artifacts affecting the spinal cord while maintaining anatomical fidelity ?,implicit,medical image restoration – low-dose artifact reduction,low-dose
984,Can someone reduce Rician noise in this PET image affecting the cortical bone without altering intensity relationships ?,PET,medical image restoration – denoising,noise
913,Would you reduce dose-induced graininess in this CT scan affecting the hepatic vessels without obscuring subtle lesions for accurate diagnosis?,CT,medical image restoration – low-dose artifact reduction,low-dose
232,Would you correct motion blur in this MRI image affecting the hepatic vessels without introducing artificial edges for accurate diagnosis?,MRI,medical image restoration – deblurring,blur
407,Can you correct background acquisition noise in this MRI image affecting the myocardial wall while maintaining diagnostic contrast for reliable interpretation?,MRI,medical image restoration – denoising,noise
5,Could you suppress dose reduction banding in this PET scan affecting the lesion boundaries without obscuring subtle lesions for accurate diagnosis?,PET,medical image restoration – low-dose artifact reduction,low-dose
347,Please refine the resolution degradation from fast acquisition in this PET image affecting the soft tissue planes while keeping boundaries anatomically consistent as soon as possible?,PET,medical image restoration – super-resolution,SR
651,Please attenuate quantum mottle in this CT scan affecting the renal medulla while preserving diagnostic contrast for reliable interpretation?,CT,medical image restoration – low-dose artifact reduction,low-dose
248,"For this scan, can you correct quantum mottle affecting the surrounding parenchyma without obscuring subtle lesions as soon as possible?",implicit,medical image restoration – low-dose artifact reduction,low-dose
427,Is it possible to clean up sparse-view artifacts in this PET scan affecting the liver parenchyma without introducing artificial smoothing as soon as possible?,PET,medical image restoration – low-dose artifact reduction,low-dose
929,Is it possible to compensate for statistical noise amplification in this CT scan affecting the renal medulla without obscuring subtle lesions as soon as possible?,CT,medical image restoration – low-dose artifact reduction,low-dose
628,Could you correct low-dose noise in this PET image affecting the white matter tracts while preserving natural texture as soon as possible?,PET,medical image restoration – denoising,noise
818,"For this case, can you refine the loss of high-frequency detail in this X-ray image affecting the bone trabeculae while maintaining diagnostic integrity as soon as possible?",X-ray,medical image restoration – super-resolution,SR
144,Can someone clean up electronic sensor noise in this X-ray image affecting the cardiac chambers without altering intensity relationships as soon as possible?,X-ray,medical image restoration – denoising,noise
560,Could you enhance the resolution degradation from fast acquisition in this X-ray image affecting the bowel wall without distorting small structures for reliable interpretation?,X-ray,medical image restoration – super-resolution,SR
192,Can you resolve cardiac motion blur in this MRI image affecting the myocardial wall while keeping anatomical boundaries sharp for reliable interpretation?,MRI,medical image restoration – deblurring,blur
105,Would you sharpen scanner motion blur in this X-ray image affecting the coronary vessels while preserving natural texture as soon as possible?,X-ray,medical image restoration – deblurring,blur
952,Could you address sparse-view artifacts affecting the sinus cavities without introducing artificial smoothing for reliable interpretation?,implicit,medical image restoration – low-dose artifact reduction,low-dose
670,Is it possible to upscale the limited through-plane resolution in this MRI image affecting the soft tissue planes while maintaining diagnostic integrity urgently?,MRI,medical image restoration – super-resolution,SR
669,Could you clean up low-photon streaking in this CT scan affecting the spinal cord while keeping edges sharp for immediate clinical assessment?,CT,medical image restoration – low-dose artifact reduction,low-dose
860,Would you address structured noise in this X-ray image affecting the orbital structures without compromising spatial resolution for reliable interpretation?,X-ray,medical image restoration – denoising,noise
475,"For clinical review, can you attenuate photon starvation streaks affecting the pulmonary vessels without blurring fine anatomy as soon as possible?",implicit,medical image restoration – low-dose artifact reduction,low-dose
228,"For clinical review, can you mitigate low-photon streaking in this CT scan affecting the small lung nodules without obscuring subtle lesions for accurate diagnosis?",CT,medical image restoration – low-dose artifact reduction,low-dose
429,Can someone boost the reduced sampling density in this MRI image affecting the myocardial wall while preserving subtle pathology for immediate review?,MRI,medical image restoration – super-resolution,SR
860,I need you to increase the blurred detail due to low resolution affecting the hip joint while preserving subtle pathology for immediate review?,implicit,medical image restoration – super-resolution,SR
46,Would you reconstruct the thick-slice resolution in this CT image affecting the splenic tissue while preserving anatomical realism for reliable interpretation?,CT,medical image restoration – super-resolution,SR
408,Would you attenuate quantum mottle in this PET scan affecting the cortical bone while keeping edges sharp for immediate clinical assessment?,PET,medical image restoration – low-dose artifact reduction,low-dose
6,"For clinical review, can you correct photon starvation streaks in this X-ray scan affecting the vascular lumen without altering attenuation relationships for immediate clinical assessment?",X-ray,medical image restoration – low-dose artifact reduction,low-dose
760,Please reduce sparse-view artifacts in this CT scan affecting the soft tissue planes while maintaining anatomical fidelity for reliable interpretation?,CT,medical image restoration – low-dose artifact reduction,low-dose
829,"For this case, can you sharpen the reduced sampling density affecting the intervertebral discs while keeping boundaries anatomically consistent urgently?",implicit,medical image restoration – super-resolution,SR
916,Can someone clean up Poisson noise in this X-ray image affecting the cerebral vessels without masking small structures as soon as possible?,X-ray,medical image restoration – denoising,noise
902,Please sharpen the blurred detail due to low resolution in this MRI image affecting the sinus cavities without distorting small structures ?,MRI,medical image restoration – super-resolution,SR
57,Is it possible to enhance the blurred detail due to low resolution in this X-ray image affecting the intervertebral discs without distorting small structures as soon as possible?,X-ray,medical image restoration – super-resolution,SR
814,Can someone remove photon starvation noise in this MRI image affecting the deep gray nuclei without oversmoothing edges as soon as possible?,MRI,medical image restoration – denoising,noise
399,"For this case, can you boost the blurred detail due to low resolution affecting the renal medulla without hallucinating structures for immediate review?",implicit,medical image restoration – super-resolution,SR
995,I need you to address patient motion blur in this X-ray image affecting the shoulder tendons without amplifying noise for reliable interpretation?,X-ray,medical image restoration – deblurring,blur
465,Please sharpen system-induced blur in this CT image affecting the cerebral vessels while preserving subtle pathology urgently?,CT,medical image restoration – deblurring,blur
500,Would you filter out photon starvation noise in this PET image affecting the white matter tracts without masking small structures for accurate diagnosis?,PET,medical image restoration – denoising,noise
790,Would you increase the resolution degradation from fast acquisition affecting the hepatic vessels without distorting small structures ?,implicit,medical image restoration – super-resolution,SR
942,Can you restore the thick-slice resolution in this X-ray image affecting the abdominal organs without distorting small structures urgently?,X-ray,medical image restoration – super-resolution,SR
160,I need you to correct undersampling streak artifacts in this PET scan affecting the kidney cortex while preserving low-contrast pathology as soon as possible?,PET,medical image restoration – low-dose artifact reduction,low-dose
237,Would you remove Gaussian noise in this MRI image affecting the lung parenchyma without compromising spatial resolution as soon as possible?,MRI,medical image restoration – denoising,noise
413,"For clinical review, can you remove dose reduction banding in this X-ray scan affecting the spinal cord without introducing artificial smoothing for accurate diagnosis?",X-ray,medical image restoration – low-dose artifact reduction,low-dose
523,Could you refine the limited through-plane resolution in this MRI image affecting the cardiac chambers without introducing artificial textures urgently?,MRI,medical image restoration – super-resolution,SR
213,"For this case, can you reduce out-of-plane motion blur in this MRI image affecting the shoulder tendons while preserving natural texture for reliable interpretation?",MRI,medical image restoration – deblurring,blur
37,"For this case, can you correct structured noise in this PET image affecting the bowel wall without blurring fine detail as soon as possible?",PET,medical image restoration – denoising,noise
869,I need you to recover the loss of high-frequency detail affecting the renal medulla without hallucinating structures as soon as possible?,implicit,medical image restoration – super-resolution,SR
901,Please remove temporal blurring in this CT image affecting the meniscal tissue without creating ringing artifacts for reliable interpretation?,CT,medical image restoration – deblurring,blur
838,Would you mitigate Gaussian noise in this PET image affecting the hippocampus while maintaining diagnostic contrast for reliable interpretation?,PET,medical image restoration – denoising,noise
816,Would you suppress low-photon streaking in this X-ray scan affecting the pancreatic tissue while preserving low-contrast pathology as soon as possible?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
742,Please remove system-induced blur in this CT image affecting the hip joint while keeping anatomical boundaries sharp ?,CT,medical image restoration – deblurring,blur
706,Could you enhance the reduced sampling density in this CT image affecting the bowel wall without amplifying noise as soon as possible?,CT,medical image restoration – super-resolution,SR
90,Would you upscale the reduced sampling density in this X-ray image affecting the soft tissue planes while preserving anatomical realism ?,X-ray,medical image restoration – super-resolution,SR
668,"For this scan, can you eliminate sparse-view artifacts in this CT scan affecting the small lung nodules while preserving diagnostic contrast for immediate clinical assessment?",CT,medical image restoration – low-dose artifact reduction,low-dose
207,Can someone suppress Rician noise in this PET image affecting the vertebral bodies without compromising spatial resolution ?,PET,medical image restoration – denoising,noise
510,Please mitigate defocus blur in this X-ray image affecting the meniscal tissue without creating ringing artifacts urgently?,X-ray,medical image restoration – deblurring,blur
598,"For this case, can you undo scanner motion blur in this MRI image affecting the tumor margins without distorting fine structures for immediate review?",MRI,medical image restoration – deblurring,blur
997,"For clinical review, can you address noise from aggressive dose reduction in this CT scan affecting the soft tissue planes while preserving diagnostic contrast ?",CT,medical image restoration – low-dose artifact reduction,low-dose
982,Is it possible to fix cardiac motion blur in this MRI image affecting the myocardial wall while maintaining diagnostic contrast for immediate review?,MRI,medical image restoration – deblurring,blur
795,Please eliminate quantum mottle in this PET scan affecting the mediastinal structures while preserving diagnostic contrast for accurate diagnosis?,PET,medical image restoration – low-dose artifact reduction,low-dose
517,Can someone increase the resolution degradation from fast acquisition affecting the vascular lumen while maintaining diagnostic integrity for immediate review?,implicit,medical image restoration – super-resolution,SR
519,Could you mitigate system-induced blur in this PET image affecting the bone trabeculae without amplifying noise as soon as possible?,PET,medical image restoration – deblurring,blur
507,Can you correct background acquisition noise in this PET image affecting the abdominal organs while preserving subtle pathology for accurate diagnosis?,PET,medical image restoration – denoising,noise
768,I need you to correct patient motion blur in this CT image affecting the vascular lumen while keeping anatomical boundaries sharp for immediate review?,CT,medical image restoration – deblurring,blur
637,Is it possible to reduce sparse-view artifacts in this CT scan affecting the mediastinal structures without introducing artificial smoothing for accurate diagnosis?,CT,medical image restoration – low-dose artifact reduction,low-dose
744,Could you address noise from aggressive dose reduction affecting the renal medulla while maintaining anatomical fidelity as soon as possible?,implicit,medical image restoration – low-dose artifact reduction,low-dose
422,Can you reduce motion blur in this PET image affecting the hippocampus while preserving subtle pathology urgently?,PET,medical image restoration – deblurring,blur
124,Can you remove motion blur affecting the orbital structures without creating ringing artifacts urgently?,implicit,medical image restoration – deblurring,blur
742,Can you address dose reduction banding in this X-ray scan affecting the vertebral bodies while keeping edges sharp for immediate clinical assessment?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
755,Can someone reconstruct the coarse voxel resolution in this PET image affecting the spinal cord while keeping boundaries anatomically consistent ?,PET,medical image restoration – super-resolution,SR
809,I need you to reduce structured noise in this MRI image affecting the hippocampus while maintaining diagnostic contrast for reliable interpretation?,MRI,medical image restoration – denoising,noise
820,"For this case, can you resolve system-induced blur in this CT image affecting the vertebral bodies without introducing artificial edges ?",CT,medical image restoration – deblurring,blur
404,Could you suppress Rician noise in this X-ray image affecting the shoulder tendons while keeping anatomical boundaries sharp as soon as possible?,X-ray,medical image restoration – denoising,noise
383,Would you attenuate photon starvation noise in this MRI image affecting the abdominal organs while maintaining diagnostic contrast ?,MRI,medical image restoration – denoising,noise
101,I need you to sharpen patient motion blur in this PET image affecting the vertebral bodies without distorting fine structures urgently?,PET,medical image restoration – deblurring,blur
514,I need you to refine the limited through-plane resolution affecting the liver parenchyma without distorting small structures as soon as possible?,implicit,medical image restoration – super-resolution,SR
284,Is it possible to correct structured noise in this PET image affecting the hippocampus without masking small structures as soon as possible?,PET,medical image restoration – denoising,noise
690,Can someone improve the reduced sampling density affecting the small lung nodules without hallucinating structures ?,implicit,medical image restoration – super-resolution,SR
37,Would you refine the loss of high-frequency detail in this CT image affecting the bone trabeculae while preserving subtle pathology urgently?,CT,medical image restoration – super-resolution,SR
491,Please upscale the insufficient in-plane resolution in this CT image affecting the hepatic vessels without introducing artificial textures for immediate review?,CT,medical image restoration – super-resolution,SR
104,Can you attenuate Rician noise in this MRI image affecting the small lung nodules without masking small structures urgently?,MRI,medical image restoration – denoising,noise
921,Is it possible to remove low-photon streaking affecting the cortical bone while preserving diagnostic contrast as soon as possible?,implicit,medical image restoration – low-dose artifact reduction,low-dose
170,I need you to restore the coarse voxel resolution in this CT image affecting the renal medulla without amplifying noise urgently?,CT,medical image restoration – super-resolution,SR
187,Is it possible to reconstruct the low spatial resolution in this PET image affecting the pelvic organs without hallucinating structures for reliable interpretation?,PET,medical image restoration – super-resolution,SR
861,Would you reduce noise from aggressive dose reduction in this CT scan affecting the white matter tracts while preserving diagnostic contrast for accurate diagnosis?,CT,medical image restoration – low-dose artifact reduction,low-dose
353,Would you mitigate Rician noise affecting the nerve roots while preserving natural texture for immediate review?,implicit,medical image restoration – denoising,noise
565,Can you reduce Rician noise in this MRI image affecting the lung parenchyma while preserving subtle pathology for immediate review?,MRI,medical image restoration – denoising,noise
307,Can you refine the downsampled resolution in this CT image affecting the pulmonary vessels while preserving anatomical realism for accurate diagnosis?,CT,medical image restoration – super-resolution,SR
77,Could you boost the thick-slice resolution in this X-ray image affecting the intervertebral discs while keeping boundaries anatomically consistent as soon as possible?,X-ray,medical image restoration – super-resolution,SR
983,Is it possible to correct cardiac motion blur in this MRI image affecting the hippocampus without creating ringing artifacts for accurate diagnosis?,MRI,medical image restoration – deblurring,blur
457,Can you compensate for cardiac motion blur in this MRI image affecting the shoulder tendons without distorting fine structures for reliable interpretation?,MRI,medical image restoration – deblurring,blur
612,Please reconstruct the low spatial resolution affecting the soft tissue planes while preserving subtle pathology urgently?,implicit,medical image restoration – super-resolution,SR
950,Please reduce sparse-view artifacts in this CT scan affecting the splenic tissue while preserving diagnostic contrast for accurate diagnosis?,CT,medical image restoration – low-dose artifact reduction,low-dose
821,"For clinical review, can you attenuate dose-induced graininess in this PET scan affecting the cerebral vessels without obscuring subtle lesions as soon as possible?",PET,medical image restoration – low-dose artifact reduction,low-dose
382,Would you reduce reconstruction blur in this CT image affecting the cerebral vessels without amplifying noise for immediate review?,CT,medical image restoration – deblurring,blur
724,Please refine the loss of high-frequency detail in this PET image affecting the cardiac chambers without introducing artificial textures for accurate diagnosis?,PET,medical image restoration – super-resolution,SR
883,Can you correct speckle noise in this CT image affecting the lung parenchyma while preserving natural texture for immediate review?,CT,medical image restoration – denoising,noise
340,Is it possible to restore the thick-slice resolution in this MRI image affecting the hepatic vessels without amplifying noise for reliable interpretation?,MRI,medical image restoration – super-resolution,SR
11,I need you to address Poisson noise in this MRI image affecting the spinal cord without blurring fine detail ?,MRI,medical image restoration – denoising,noise
593,"For this case, can you reduce Gaussian noise in this X-ray image affecting the shoulder tendons without compromising spatial resolution for accurate diagnosis?",X-ray,medical image restoration – denoising,noise
990,Can someone boost the blurred detail due to low resolution in this CT image affecting the liver parenchyma while preserving subtle pathology for immediate review?,CT,medical image restoration – super-resolution,SR
663,I need you to remove partial volume blur in this X-ray image affecting the tumor margins while preserving natural texture urgently?,X-ray,medical image restoration – deblurring,blur
629,Could you clean up low-photon streaking in this CT scan affecting the lung parenchyma while keeping edges sharp as soon as possible?,CT,medical image restoration – low-dose artifact reduction,low-dose
652,Is it possible to enhance the insufficient in-plane resolution in this MRI image affecting the renal medulla while maintaining diagnostic integrity for reliable interpretation?,MRI,medical image restoration – super-resolution,SR
620,Please sharpen the insufficient in-plane resolution in this PET image affecting the pancreatic tissue while maintaining diagnostic integrity ?,PET,medical image restoration – super-resolution,SR
790,Can someone remove low-dose noise in this CT image affecting the orbital structures without blurring fine detail for reliable interpretation?,CT,medical image restoration – denoising,noise
988,Can you remove dose reduction banding in this PET scan affecting the tumor margins while maintaining anatomical fidelity ?,PET,medical image restoration – low-dose artifact reduction,low-dose
122,Can someone improve the low spatial resolution in this X-ray image affecting the sinus cavities while preserving subtle pathology for accurate diagnosis?,X-ray,medical image restoration – super-resolution,SR
28,Is it possible to restore the limited through-plane resolution in this CT image affecting the pelvic organs without hallucinating structures ?,CT,medical image restoration – super-resolution,SR
576,Could you improve the resolution degradation from fast acquisition in this X-ray image affecting the white matter tracts without amplifying noise as soon as possible?,X-ray,medical image restoration – super-resolution,SR
846,Please remove spatial blurring in this PET image affecting the brain cortex while keeping anatomical boundaries sharp urgently?,PET,medical image restoration – deblurring,blur
543,"For this case, can you address patient motion blur affecting the cerebral vessels while maintaining diagnostic contrast for accurate diagnosis?",implicit,medical image restoration – deblurring,blur
92,Is it possible to sharpen spatial blurring in this CT image affecting the spinal cord without creating ringing artifacts for reliable interpretation?,CT,medical image restoration – deblurring,blur
547,Would you refine the downsampled resolution in this PET image affecting the deep gray nuclei without introducing artificial textures for reliable interpretation?,PET,medical image restoration – super-resolution,SR
123,Please refine the coarse voxel resolution affecting the pulmonary vessels without hallucinating structures as soon as possible?,implicit,medical image restoration – super-resolution,SR
197,"For this case, can you correct shot noise in this PET image affecting the deep gray nuclei while keeping anatomical boundaries sharp for accurate diagnosis?",PET,medical image restoration – denoising,noise
103,Is it possible to attenuate shot noise in this X-ray image affecting the brain cortex without blurring fine detail urgently?,X-ray,medical image restoration – denoising,noise
671,Is it possible to reduce undersampling streak artifacts in this PET scan affecting the hepatic vessels without obscuring subtle lesions for immediate clinical assessment?,PET,medical image restoration – low-dose artifact reduction,low-dose
792,Would you reduce electronic sensor noise in this MRI image affecting the hippocampus without oversmoothing edges for accurate diagnosis?,MRI,medical image restoration – denoising,noise
250,Is it possible to suppress low-dose noise patterns in this PET scan affecting the lesion boundaries without altering attenuation relationships for immediate clinical assessment?,PET,medical image restoration – low-dose artifact reduction,low-dose
